card_name,data
Aura of Silence,"{'card': 'aura of silence', 'colors': 'W', 'averageRound': 29, 'average': 230, 'numberAvailable': 32, 'numberTaken': 1, 'ratio': 0.0313, 'lotusScore': 1.213430851064, 'drafts': [{'card': None, 'draft': 'VRD Archives - StLotus10', 'gid': '234061621', 'occurrence': '2023-01-14T00:00:00.000Z', 'pick': None, 'maxRelease': '1997-06-09T00:00:00.000Z', 'occurance': '2023-01-14T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - DIS17', 'gid': '1817121486', 'occurrence': '2023-01-30T00:00:00.000Z', 'pick': None, 'maxRelease': '1997-06-09T00:00:00.000Z', 'occurance': '2023-01-30T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - DIS18', 'gid': '1321266086', 'occurrence': '2023-02-02T00:00:00.000Z', 'pick': None, 'maxRelease': '1997-06-09T00:00:00.000Z', 'occurance': '2023-02-02T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - DIS19', 'gid': '84620412', 'occurrence': '2023-02-10T00:00:00.000Z', 'pick': None, 'maxRelease': '1997-06-09T00:00:00.000Z', 'occurance': '2023-02-10T00:00:00.000Z'}, {'card': 'aura of silence', 'draft': 'VRD Archives - STLPresents3', 'gid': '402632389', 'occurrence': '2023-02-18T00:00:00.000Z', 'pick': 230, 'maxRelease': '1997-06-09T00:00:00.000Z', 'occurance': '2023-02-18T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - DIS20', 'gid': '2133326284', 'occurrence': '2023-03-01T00:00:00.000Z', 'pick': None, 'maxRelease': '1997-06-09T00:00:00.000Z', 'occurance': '2023-03-01T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - StLotus11', 'gid': '925597639', 'occurrence': '2023-04-01T00:00:00.000Z', 'pick': None, 'maxRelease': '1997-06-09T00:00:00.000Z', 'occurance': '2023-04-01T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - MT4', 'gid': '1664019276', 'occurrence': '2023-05-01T00:00:00.000Z', 'pick': None, 'maxRelease': '1997-06-09T00:00:00.000Z', 'occurance': '2023-05-01T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - STLPresents4', 'gid': '1781732727', 'occurrence': '2023-05-20T00:00:00.000Z', 'pick': None, 'maxRelease': '1997-06-09T00:00:00.000Z', 'occurance': '2023-05-20T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - CHI4', 'gid': '2020127240', 'occurrence': '2023-06-01T00:00:00.000Z', 'pick': None, 'maxRelease': '1997-06-09T00:00:00.000Z', 'occurance': '2023-06-01T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - DIS21', 'gid': '1903257633', 'occurrence': '2023-06-28T00:00:00.000Z', 'pick': None, 'maxRelease': '1997-06-09T00:00:00.000Z', 'occurance': '2023-06-28T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - DIS22', 'gid': '1884831148', 'occurrence': '2023-07-01T00:00:00.000Z', 'pick': None, 'maxRelease': '1997-06-09T00:00:00.000Z', 'occurance': '2023-07-01T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - COL1', 'gid': '1582764244', 'occurrence': '2023-07-09T00:00:00.000Z', 'pick': None, 'maxRelease': '1997-06-09T00:00:00.000Z', 'occurance': '2023-07-09T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - StLotus12', 'gid': '1968116436', 'occurrence': '2023-07-30T00:00:00.000Z', 'pick': None, 'maxRelease': '1997-06-09T00:00:00.000Z', 'occurance': '2023-07-30T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - DIS23', 'gid': '1008615612', 'occurrence': '2023-08-01T00:00:00.000Z', 'pick': None, 'maxRelease': '1997-06-09T00:00:00.000Z', 'occurance': '2023-08-01T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - NYC6', 'gid': '326077006', 'occurrence': '2023-08-17T00:00:00.000Z', 'pick': None, 'maxRelease': '1997-06-09T00:00:00.000Z', 'occurance': '2023-08-17T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - DIS24', 'gid': '1716925941', 'occurrence': '2023-09-01T00:00:00.000Z', 'pick': None, 'maxRelease': '1997-06-09T00:00:00.000Z', 'occurance': '2023-09-01T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - DIS25', 'gid': '1910684336', 'occurrence': '2023-10-15T00:00:00.000Z', 'pick': None, 'maxRelease': '1997-06-09T00:00:00.000Z', 'occurance': '2023-10-15T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - StLotus13', 'gid': '1640330949', 'occurrence': '2023-12-02T00:00:00.000Z', 'pick': None, 'maxRelease': '1997-06-09T00:00:00.000Z', 'occurance': '2023-12-02T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - TOR1', 'gid': '906554463', 'occurrence': '2024-01-01T00:00:00.000Z', 'pick': None, 'maxRelease': '1997-06-09T00:00:00.000Z', 'occurance': '2024-01-01T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - DIS26', 'gid': '1918971365', 'occurrence': '2024-01-01T00:00:00.000Z', 'pick': None, 'maxRelease': '1997-06-09T00:00:00.000Z', 'occurance': '2024-01-01T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - DIS27', 'gid': '997079292', 'occurrence': '2024-02-15T00:00:00.000Z', 'pick': None, 'maxRelease': '1997-06-09T00:00:00.000Z', 'occurance': '2024-02-15T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - DIS28', 'gid': '1312128391', 'occurrence': '2024-03-03T00:00:00.000Z', 'pick': None, 'maxRelease': '1997-06-09T00:00:00.000Z', 'occurance': '2024-03-03T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - DIS29', 'gid': '1693348956', 'occurrence': '2024-03-16T00:00:00.000Z', 'pick': None, 'maxRelease': '1997-06-09T00:00:00.000Z', 'occurance': '2024-03-16T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - DIS30', 'gid': '1634458203', 'occurrence': '2024-05-01T00:00:00.000Z', 'pick': None, 'maxRelease': '1997-06-09T00:00:00.000Z', 'occurance': '2024-05-01T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - StLotus14', 'gid': '1605454232', 'occurrence': '2024-05-04T00:00:00.000Z', 'pick': None, 'maxRelease': '1997-06-09T00:00:00.000Z', 'occurance': '2024-05-04T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - MSP1', 'gid': '258078587', 'occurrence': '2024-06-06T00:00:00.000Z', 'pick': None, 'maxRelease': '1997-06-09T00:00:00.000Z', 'occurance': '2024-06-06T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - DIS31', 'gid': '55679847', 'occurrence': '2024-07-16T00:00:00.000Z', 'pick': None, 'maxRelease': '1997-06-09T00:00:00.000Z', 'occurance': '2024-07-16T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - STLPresents5', 'gid': '2100385436', 'occurrence': '2024-07-27T00:00:00.000Z', 'pick': None, 'maxRelease': '1997-06-09T00:00:00.000Z', 'occurance': '2024-07-27T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - DIS32', 'gid': '1942684760', 'occurrence': '2024-08-16T00:00:00.000Z', 'pick': None, 'maxRelease': '1997-06-09T00:00:00.000Z', 'occurance': '2024-08-16T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - DIS33', 'gid': '1901628944', 'occurrence': '2024-09-13T00:00:00.000Z', 'pick': None, 'maxRelease': '1997-06-09T00:00:00.000Z', 'occurance': '2024-09-13T00:00:00.000Z'}, {'card': None, 'draft': 'VRD Archives - STLPresents6', 'gid': '1637522781', 'occurrence': '2024-10-05T00:00:00.000Z', 'pick': None, 'maxRelease': '1997-06-09T00:00:00.000Z', 'occurance': '2024-10-05T00:00:00.000Z'}]}"
Bandage,"{'card': 'Bandage', 'numberTaken': 0, 'numberAvailable': 32, 'averageRound': None, 'suggestion': ""bandit's talent"", 'suggestions': [""bandit's talent"", 'bandage']}"
Angelic Wall,"{'card': 'Angelic Wall', 'numberTaken': 0, 'numberAvailable': 32, 'averageRound': None, 'suggestion': ""angel's grace"", 'suggestions': ['angel of despair', 'angelic wall']}"
Angel of Mercy,"{'card': 'Angel of Mercy', 'numberTaken': 0, 'numberAvailable': 32, 'averageRound': None, 'suggestion': ""angel's grace"", 'suggestions': ['angel of despair', 'angel of mercy']}"
Angelic Chorus,"{'card': 'Angelic Chorus', 'numberTaken': 0, 'numberAvailable': 32, 'averageRound': None, 'suggestion': ""angel's grace"", 'suggestions': ['angel of despair', 'angelic chorus']}"
Angelic Blessing,"{'card': 'Angelic Blessing', 'numberTaken': 0, 'numberAvailable': 32, 'averageRound': None, 'suggestion': ""angel's grace"", 'suggestions': ['angel of despair', 'angelic blessing']}"
Ballista Squad,"{'card': 'Ballista Squad', 'numberTaken': 0, 'numberAvailable': 32, 'averageRound': None, 'suggestion': 'bala ged recovery // bala ged sanctuary', 'suggestions': ['ball lightning', 'ballista squad']}"
Ancestor's Chosen,"{'card': ""Ancestor's Chosen"", 'numberTaken': 0, 'numberAvailable': 32, 'averageRound': None, 'suggestion': 'ancestral mask', 'suggestions': ['ancestral knowledge', ""ancestor's chosen""]}"
Aven Cloudchaser,"{'card': 'Aven Cloudchaser', 'numberTaken': 0, 'numberAvailable': 32, 'averageRound': None, 'suggestion': 'aven interrupter', 'suggestions': ['aven interrupter', 'aven cloudchaser']}"
Beacon of Immortality,"{'card': 'Beacon of Immortality', 'numberTaken': 0, 'numberAvailable': 32, 'averageRound': None, 'suggestion': 'beast within', 'suggestions': ['beacon of tomorrows', 'beacon of immortality']}"
Condemn,"{'card': 'Condemn', 'numberTaken': 0, 'numberAvailable': 32, 'averageRound': None, 'suggestion': 'condescend', 'suggestions': ['condemn', 'angel of condemnation', 'crook of condemnation', 'stromkirk condemned']}"
Benalish Knight,"{'card': 'Benalish Knight', 'numberTaken': 0, 'numberAvailable': 32, 'averageRound': None, 'suggestion': 'beast within', 'suggestions': [""benefactor's draught"", 'benalish knight', 'benalish knight-counselor']}"
Glorious Anthem,"{'card': 'Glorious Anthem', 'numberTaken': 0, 'numberAvailable': 32, 'averageRound': None, 'suggestion': 'glorious end', 'suggestions': ['glorious anthem']}"
