average,averageRound,card,colors,lotusScore,numberAvailable,numberTaken,ratio,suggestion
230,29,aura of silence,W,1.213430851064,32,1,0.0313,
,,Bandage,,,32,0,,bandit's talent
,,Angelic Wall,,,32,0,,angel's grace
,,Angel of Mercy,,,32,0,,angel's grace
,,Angelic Chorus,,,32,0,,angel's grace
,,Angelic Blessing,,,32,0,,angel's grace
,,Ballista Squad,,,32,0,,bala ged recovery // bala ged sanctuary
,,Ancestor's Chosen,,,32,0,,ancestral mask
,,Aven Cloudchaser,,,32,0,,aven interrupter
,,Beacon of Immortality,,,32,0,,beast within
,,Condemn,,,32,0,,condescend
,,Benalish Knight,,,32,0,,beast within
,,Glorious Anthem,,,32,0,,glorious end
,,Field Marshal,,,32,0,,field of ruin
,,Demystify,,,32,0,,demonic consultation
,,"Cho-Manno, Revolutionary",,,32,0,,choke
,,Ghost Warden,,,32,0,,ghost quarter
,,High Ground,,,32,0,,high tide
,,Heart of Light,,,32,0,,headliner scarlett
,,Holy Day,,,32,0,,hope of ghirapur
,,Hail of Arrows,,,32,0,,hall of storm giants
,,Holy Strength,,,32,0,,hope of ghirapur
,,Honor Guard,,,32,0,,hope of ghirapur
,,Icatian Priest,,,32,0,,ice-fang coatl
,,Luminesce,,,32,0,,luminarch aspirant
,,Loxodon Mystic,,,32,0,,loaming shaman
,,Loyal Sentry,,,32,0,,loaming shaman
,,Paladin en-Vec,,,32,0,,paladin class
,,Pariah,,,32,0,,paradigm shift
,,Pacifism,,,32,0,,pack rat
,,Kjeldoran Royal Guard,,,32,0,,kaito shizuki
,,Nomad Mythmaker,,,32,0,,nomads en-kor
263,33,rule of law,W,0.939162234043,32,1,0.0313,
,,Mobilization,,,32,0,,moat
,,Reviving Dose,,,32,0,,revitalizing repast // old-growth grove
,,Serra Angel,,,32,0,,serra paragon
,,Serra's Embrace,,,32,0,,serra's sanctum
,,Righteousness,,,32,0,,ricochet trap
,,Samite Healer,,,32,0,,"samut, vizier of naktamun"
,,Skyhunter Patrol,,,32,0,,skyclave apparition
,,Reya Dawnbringer,,,32,0,,reality shift
,,Spirit Link,,,32,0,,spirit mantle
,,Soul Warden,,,32,0,,soul of windgrace
,,Skyhunter Prowler,,,32,0,,skyclave apparition
,,Skyhunter Skirmisher,,,32,0,,skyclave apparition
,,Spirit Weaver,,,32,0,,spirit mantle
,,Story Circle,,,32,0,,stormbreath dragon
,,Starlight Invoker,,,32,0,,"starscream, power hungry // starscream, seeker leader"
,,Steadfast Guard,,,32,0,,steam vents
,,True Believer,,,32,0,,true-name nemesis
,,Suntail Hawk,,,32,0,,sun titan
,,Tundra Wolves,,,32,0,,tundra
,,Treasure Hunter,,,32,0,,treasure cruise
,,Tempest of Light,,,32,0,,temple garden
321,41,wrath of god,W,1.828457446809,32,4,0.125,
,,Venerable Monk,,,32,0,,vendetta
,,Voice of All,,,32,0,,voice of resurgence
,,Wall of Swords,,,32,0,,wall of roots
,,Wild Griffin,,,32,0,,wild growth
,,Warrior's Honor,,,32,0,,warren soultrader
303.3333,38,boomerang,U,1.8118359375,32,3,0.0938,
,,Academy Researchers,,,32,0,,academy ruins
,,Windborn Muse,,,32,0,,windfall
,,Youthful Knight,,,32,0,,you are already dead
227,29,clone,U,1.238364361702,32,1,0.0313,
,,Ambassador Laquatus,,,32,0,,amulet of vigor
,,Aven Fisher,,,32,0,,aven interrupter
,,Aura Graft,,,32,0,,aura flux
,,Cancel,,,32,0,,candelabra of tawnos
,,Arcanis the Omnipotent,,,32,0,,arcane artisan
,,Aven Windreader,,,32,0,,aven interrupter
,,Air Elemental,,,32,0,,aarakocra sneak
,,Cloud Sprite,,,32,0,,cloud of faeries
,,Cephalid Constable,,,32,0,,cephalid coliseum
359,45,flashfreeze,U,0.141289893617,32,1,0.0313,
,,Cloud Elemental,,,32,0,,cloud of faeries
,,Deluge,,,32,0,,delay
,,Crafty Pathmage,,,32,0,,crabomination
,,Counsel of the Soratami,,,32,0,,council's judgment
236.6316,30,hurkyl's recall,U,22.007975398936,32,19,0.5938,
,,Evacuation,,,32,0,,evasive action
,,Discombobulate,,,32,0,,disenchant
,,Dehydration,,,32,0,,dead // gone
,,Dreamborn Muse,,,32,0,,dreamroot cascade
268.75,34,peek,U,3.565492021277,32,4,0.125,
,,Denizen of the Deep,,,32,0,,den of the bugbear
,,Fugitive Wizard,,,32,0,,fugitive codebreaker
,,Fog Elemental,,,32,0,,foil
,,Horseshoe Crab,,,32,0,,horizon canopy
,,Mind Bend,,,32,0,,mind grind
,,March of the Machines,,,32,0,,march of otherworldly light
321,41,reminisce,U,0.457114361702,32,1,0.0313,
,,Merfolk Looter,,,32,0,,merchant scroll
,,Persuasion,,,32,0,,persist
,,Lumengrid Warden,,,32,0,,luminarch aspirant
,,Plagiarize,,,32,0,,plague belcher
,,Phantom Warrior,,,32,0,,phantasmal image
,,Mahamoti Djinn,,,32,0,,maddening cacophony
,,Puppeteer,,,32,0,,punishing fire
,,Remove Soul,,,32,0,,remorseful cleric
,,Sage Owl,,,32,0,,sacred foundry
,,Robe of Mirrors,,,32,0,,robber of the rich
,,Rootwater Commando,,,32,0,,rootwater thief
,,Rootwater Matriarch,,,32,0,,rootwater thief
,,Sift,,,32,0,,siege-gang commander
,,Scalpelexis,,,32,0,,scalding tarn
,,Sea Monster,,,32,0,,"sea gate restoration // sea gate, reborn"
,,Shimmering Wings,,,32,0,,shifting ceratops
,,Sky Weaver,,,32,0,,skyclave apparition
,,Sunken Hope,,,32,0,,sunken hollow
,,Snapping Drake,,,32,0,,snap
,,Telepathy,,,32,0,,tear asunder
,,Telling Time,,,32,0,,tear asunder
,,Tidings,,,32,0,,tidehollow sculler
,,Spiketail Hatchling,,,32,0,,spikefield hazard // spikefield cave
,,Time Stop,,,32,0,,time spiral
,,Thieving Magpie,,,32,0,,thieving skydiver
,,Time Stretch,,,32,0,,time spiral
,,Twincast,,,32,0,,twilight mire
,,Traumatize,,,32,0,,tragic fall
,,Unsummon,,,32,0,,unsubstantiate
,,Twitch,,,32,0,,twilight mire
,,Wall of Air,,,32,0,,wall of roots
,,Vedalken Mastermind,,,32,0,,vedalken shackles
366,46,deathmark,B,0.083111702128,32,1,0.0313,
,,Assassinate,,,32,0,,assassin's trophy
,,Agonizing Memories,,,32,0,,agonizing remorse
,,Ascendant Evincar,,,32,0,,ash barrens
